Plaats,Woon- plaats- code,Postcode (laagste tot hoogste),Gemeente met link naar gemeentelijke website,Provincie
s Gravenmoer,2800,5109–5109,Dongen,Noord-Brabant
(De ?) Vleut,,5681–5681,Best,Noord-Brabant
(De ?) Vleut,,5681–5681,Best,Noord-Brabant
(Den) Broek (?),,5975–5975,Horst aan de Maas,Limburg
(Den) Broek (?),,5975–5975,Horst aan de Maas,Limburg
(Op den) Bosch (?),,5824–5824,Boxmeer,Noord-Brabant
(Op den) Bosch (?),,5824–5824,Boxmeer,Noord-Brabant
De Aa,,5575–5575,Bergeijk,Noord-Brabant
Aadorp,1925,7611–7611,Almelo,Overijssel
Aagtekerke,2774,4363–4363,Veere,Zeeland
Aalbeek,,6336–6336,Beekdaelen,Limburg
Aalden,2145,7854–7854,Coevorden,Drenthe
Aaldonk,,6595–6595,Gennep,Limburg
Aalsmeer,2571,1431–1432,Aalsmeer,Noord-Holland
Aalsmeerderbrug,1600,1436–1436,Haarlemmermeer,Noord-Holland
Aalst,,4033–4033,Buren,Gelderland
Aalst,,5582–5583,Waalre,Noord-Brabant
Aalst,2626,5308–5308,Zaltbommel,Gelderland
Ter Aalst,,4911–4911,Oosterhout,Noord-Brabant
Aalsum,,9883–9883,Westerkwartier,Groningen
Aalsum / Ealsum,3387,9121–9121,Noardeast-Fryslân,Fryslân
Aalten,1193,7121–7123,Aalten,Gelderland
Aam,,6662–6662,Overbetuwe,Gelderland
Aanschot,,5629–5629,Eindhoven,Noord-Brabant
Ter Aar,2673,2461–2461,Nieuwkoop,Zuid-Holland
Ter Aard,2394,9487–9487,Assen,Drenthe
Aardenburg,2961,4527–4527,Sluis,Zeeland
Aarlanderveen,1079,2445–2445,Alphen aan den Rijn,Zuid-Holland
Aarle,,5684–5684,Best,Noord-Brabant
Aarle-Rixtel,1445,5735–5735,Laarbeek,Noord-Brabant
Aartswoud,2788,1719–1719,Opmeer,Noord-Holland
Aasterberg,,6101–6101,Echt-Susteren,Limburg
Abbega / Abbegea,2400,8617–8617,Súdwest-Fryslân,Fryslân
Abbegaasterketting / Abbegeasterkeatting,,8617–8617,Súdwest-Fryslân,Fryslân
Abbekerk,3147,1657–1657,Medemblik,Noord-Holland
Abbekinderen,,4482–4482,Goes,Zeeland
Abbenbroek,1385,3216–3216,Nissewaard,Zuid-Holland
Abbenes,1608,2157–2157,Haarlemmermeer,Noord-Holland
Abbengawier / Abbenwier,,9011–9011,Leeuwarden,Fryslân
Abbestede,,1759–1759,Schagen,Noord-Holland
Abbeweer,,9954–9954,Het Hogeland,Groningen
Abbewier / Jewier,,9133–9133,Noardeast-Fryslân,Fryslân
Abcoude,1332,1391–1391,De Ronde Venen,Utrecht
Abcoven,,5051–5051,Goirle,Noord-Brabant
Absdale,,4561–4561,Hulst,Zeeland
Abshoven,,6151–6151,Sittard-Geleen,Limburg
Abtswoude,,2626–2626,Delft,Zuid-Holland
Achlum,1364,8806–8806,Waadhoeke,Fryslân
Acht,,5626–5626,Eindhoven,Noord-Brabant
Achter het Klooster,,6093–6093,Leudal,Limburg
Achter-Lindt,,3334–3334,Zwijndrecht,Zuid-Holland
Achter-Thesinge,,9797–9797,Groningen,Groningen
Achterberg,,3911–3911,Rhenen,Utrecht
Achterbos,,3645–3645,De Ronde Venen,Utrecht
Achterbosch,,5721–5721,Asten,Noord-Brabant
Achterbosch,,5737–5737,Laarbeek,Noord-Brabant
Achterbroek,,2825–2825,Krimpenerwaard,Zuid-Holland
Achterbroek,,5715–5715,Someren,Noord-Brabant
Achterdiep,,9611–9611,Midden-Groningen,Groningen
Achterdijk,,4761–4761,Moerdijk,Noord-Brabant
Achterdijk,,4243–4243,Vijfheerenlanden,Utrecht
Achterdrempt,,6996–6996,Bronckhorst,Gelderland
Achtereind,,5583–5583,Waalre,Noord-Brabant
Achterhoek,,7475–7475,Hof van Twente,Overijssel
Achterhoek,,3861–3861,Nijkerk,Gelderland
Achterste Brug,,5556–5556,Valkenswaard,Noord-Brabant
Achterste Diesdonk,,5724–5724,Asten,Noord-Brabant
Achterste Erm,,7843–7843,Coevorden,Drenthe
Achterste Heide,,5351–5351,Oss,Noord-Brabant
Achterste Heikant,,5541–5541,Reusel-De Mierden,Noord-Brabant
Achterste Hermalen,,5481–5481,Meierijstad,Noord-Brabant
Achterste Rith,,4838–4838,Breda,Noord-Brabant
Achterstehoek,,6922–6922,Duiven,Gelderland
Achterveld,1063,3792–3792,Barneveld,Gelderland
Achterveld,2640,3791–3791,Leusden,Utrecht
Achterwetering,,3738–3738,De Bilt,Utrecht
Achthoven,,4128–4128,Vijfheerenlanden,Utrecht
Achthoven-West,,3417–3417,Montfoort,Utrecht
Achthuizen,2131,3256–3256,Goeree-Overflakkee,Zuid-Holland
Achtmaal,3493,4885–4885,Zundert,Noord-Brabant
Achttienhoven,,3615–3615,De Bilt,Utrecht
Achttienhoven,,3651–3651,Nieuwkoop,Zuid-Holland
Acquoy,3527,4151–4151,West Betuwe,Gelderland
Adorp,2464,9774–9774,Het Hogeland,Groningen
Aduard,2114,9831–9831,Westerkwartier,Groningen
Aduarderzijl,,9892–9892,Westerkwartier,Groningen
Aegum / Eagum,2524,9006–9006,Leeuwarden,Fryslân
Aekinga,,8426–8426,Ooststellingwerf,Fryslân
Aerdenburg,,6913–6913,Zevenaar,Gelderland
Aerdenhout,2652,2111–2111,Bloemendaal,Noord-Holland
Aerdt,2976,6913–6913,Zevenaar,Gelderland
Afferden,,5851–5851,Bergen,Limburg
Afferden,2902,6654–6654,Druten,Gelderland
Agelo,1407,7636–7636,Dinkelland,Overijssel
Agodorp,,9561–9561,Westerwolde,Groningen
Aijen,,5854–5854,Bergen,Limburg
Akersloot,2267,1921–1921,Castricum,Noord-Holland
Akker,,4724–4724,Roosendaal,Noord-Brabant
Den Akker,,4054–4054,Neder-Betuwe,Gelderland
Akkerput,,4505–4505,Sluis,Zeeland
Akkrum,2525,8491–8491,Heerenveen,Fryslân
Akmarijp / Eagmaryp,2484,8541–8541,De Fryske Marren,Fryslân
Albergen,1283,7665–7665,Tubbergen,Overijssel
Alblasserdam,2386,2951–2954,Alblasserdam,Zuid-Holland
Alde Leie / Oude Leije,3224,9071–9072,Leeuwarden,Fryslân
Aldeboarn,2532,8495–8495,Heerenveen,Fryslân
Aldeboarn,,8495–8495,Heerenveen,Fryslân
Aldtsjerk / Oudkerk,2441,9064–9064,Tytsjerksteradiel,Fryslân
Aldwâldmersyl,,9294–9294,Noardeast-Fryslân,Fryslân
Alem,1623,5335–5335,Maasdriel,Gelderland
Alendorp,,3451–3451,Utrecht,Utrecht
Alinghuizen,,9951–9951,Het Hogeland,Groningen
Alkmaar,2348,1801–1827,Alkmaar,Noord-Holland
Allersma,,9891–9891,Westerkwartier,Groningen
Allingawier,2301,8758–8758,Súdwest-Fryslân,Fryslân
Almelo,1924,7601–7610,Almelo,Overijssel
Almen,1334,7218–7218,Lochem,Gelderland
Almere,1270,1309–1364,Almere,Flevoland
Almere-Buiten,,1331–1339,Almere,Flevoland
